Word,Frequency
50,1
98,1
280,1
380,1
1740,1
like,5
pre,2
season,1
basketball,1
lebron,3
crowd,1
wanted,1
bad,1
hard,1
imagine,1
jokic,2
getting,1
injured,1
looks,1
moving,1
slow,1
motion,1
barely,1
gets,2
floor,1
jumps,1
crazy,1
consider,1
fat,1
lbs,2
shaq,2
one,2
point,1
got,4
truly,1
put,1
fork,1
unathletic,1
nba,1
superstar,1
ever,1
seen,1
pure,1
skill,1
lmao,1
seem,1
remember,1
interview,1
threepeat,1
years,2
pregame,1
meal,1
something,1
three,2
club,1
sandwiches,1
large,1
sprites,1
course,1
that’s,2
contention,1
you’re,6
first,1
year,2
grad,1
student,1
just,2
finished,1
readin’,1
marxian,1
historian,1
pete,1
garrison,1
probably,1
gonna,7
convinced,1
’til,1
next,2
month,1
get,1
james,1
lemon,1
talkin’,2
economies,1
virginia,1
pennsylvania,1
entrepreneurial,1
capitalist,1
way,1
back,1
last,1
regurgitating,1
gordon,1
wood,1
know,1
revolutionary,1
utopia,1
capital,1
forming,1
effects,1
military,1
mobilization…,1
‘wood,1
drastically,1
underestimates,1
impact,1
social,1
distinctions,1
predicated,1
wealth,2
especially,1
inherited,1
vickers,1
work,1
essex,1
county,1
page,1
right,1
yeah,1
read,2
plagiarize,1
whole,1
thing,3
thoughts,1
matter,1
come,2
bar,1
obscure,1
passage,1
pretend,1
pawn,1
idea,1
impress,1
girls,1
embarrass,1
friend,1
see,1
sad,1
guy,1
start,1
doin’,1
thinkin’,1
fact,1
two,2
certainties,1
life,1
don’t,1
dropped,1
hundred,1
fifty,2
grand,1
fuckin’,1
education,1
coulda,1
dollar,1
late,1
charges,1
public,1
library,1
